,O,H,L,C,V,UD,委買張數,委買筆數,委賣張數,委賣筆數,自營cbc,自營cbv,自營csc,自營csv,自營cbsc,自營cbsv,自營cbcoi,自營cbvoi,自營cscoi,自營csvoi,自營cbscoi,自營cbsvoi,自營pbc,自營pbv,自營psc,自營psv,自營pbsc,自營pbsv,自營pbcoi,自營pbvoi,自營pscoi,自營psvoi,自營pbscoi,自營pbsvoi,外資cbc,外資cbv,外資csc,外資csv,外資cbsc,外資cbsv,外資cbcoi,外資cbvoi,外資cscoi,外資csvoi,外資cbscoi,外資cbsvoi,外資pbc,外資pbv,外資psc,外資psv,外資pbsc,外資pbsv,外資pbcoi,外資pbvoi,外資pscoi,外資psvoi,外資pbscoi,外資pbsvoi,自營bc,自營bv,自營sc,自營sv,自營bsc,自營bsv,自營oibc,自營oibv,自營oisc,自營oisv,自營oibsc,自營oibsv,外資bc,外資bv,外資sc,外資sv,外資bsc,外資bsv,外資oibc,外資oibv,外資oisc,外資oisv,外資oibsc,外資oibsv,opwcp,opwp,opmcp,opmp
20160112,7807.93,7851.81,7732.11,7768.45,4761853.0,-19.97,107809.0,604145.0,157232.0,2583330.0,201699,346516,190661,332415,11038,14101,143533,159082,147682,98773,-4149,60309,202633,558065,206239,551690,-3606,6375,105457,928606,130878,1103528,-25421,-174922,34489,87682,31904,87548,2585,134,120742,74881,77007,52364,43735,22517,40183,148134,48747,206309,-8564,-58176,95251,1318743,73663,1291424,21588,27319,27813,43044592,29760,46073185,-1947,-3028593,7533,11551617,10783,16539131,-3250,-4987514,50954,78859141,49406,76477908,1548,2381233,42822,65845953,21988,33780738,20834,32065215,78.5,7750,93.0,7800
20160113,7799.56,7865.98,7786.33,7824.61,4158085.0,56.16,111615.0,632441.0,151406.0,2547035.0,259280,462554,256190,470262,3090,-7708,124564,241616,113339,199330,11225,42286,260015,571121,275019,674120,-15004,-102999,86033,658362,111264,897229,-25231,-238867,54766,137804,59041,175057,-4275,-37253,119883,101054,82557,111378,37326,-10324,58538,155236,67729,214973,-9191,-59737,84932,1091615,83664,1141129,1268,-49514,34708,54091268,33422,52066004,1286,2025264,8970,13943326,10914,16959551,-1944,-3016225,53652,83606931,51048,79547088,2604,4059843,44399,69155631,21033,32721016,23366,36434615,14.1,7800,140.1,7800
20160114,7752.09,7752.09,7662.34,7742.88,4261678.0,-81.73,122113.0,718337.0,150397.0,2597447.0,218803,516227,223422,524472,-4619,-8245,155211,258533,148665,232763,6546,25770,194054,716456,195826,729106,-1772,-12650,117824,849397,144830,1158425,-27006,-309028,59289,196349,48670,173925,10619,22424,132066,106147,84075,91122,47991,15025,60003,291514,57051,275509,2952,16005,91481,1262627,87260,1315230,4221,-52603,28494,43739480,32000,49097154,-3506,-5357674,8459,12989730,13702,21064725,-5243,-8074995,52091,79981589,51836,79585537,255,396052,46563,71692512,22915,35232516,23648,36459996,249.0,7750,413.0,7700
20160115,7809.0,7842.34,7708.66,7762.01,4214150.0,19.13,111544.0,664296.0,154638.0,2654828.0,211798,451127,236698,467000,-24900,-15873,155436,185894,173803,159141,-18367,26753,208095,640681,220301,652981,-12206,-12300,109566,904090,148785,1222229,-39219,-318139,68089,205770,58544,194251,9545,11519,143494,97316,85895,74722,57599,22594,84860,336516,86856,369706,-1996,-33189,96656,1345659,94433,1433398,2223,-87739,32634,50349022,30237,46632033,2397,3716989,9453,14431660,12383,18909585,-2930,-4477925,60065,92619121,60578,93495983,-513,-876862,46445,71045069,23234,35487100,23211,35557969,204.0,7750,213.0,7800
20160118,7678.67,7834.25,7627.89,7811.18,4541312.0,49.17,100007.0,594348.0,164280.0,3029402.0,284141,601018,298111,575836,-13970,25182,153491,292993,186089,269961,-32598,23032,315027,671807,312260,604983,2767,66825,108386,602602,144857,750985,-36471,-148383,72009,222924,62913,213714,9096,9210,152272,168188,85672,101508,66600,66680,96755,218034,76628,198308,20127,19726,105118,984927,82763,1026179,22355,-41252,48588,74896255,46104,71065798,2484,3830457,10680,16617454,10670,16588636,10,28818,94318,145223057,93149,143579887,1169,1643170,50908,79311807,25800,40149205,25108,39162602,112.0,7800,215.0,7800
20160119,7816.45,7854.88,7786.77,7854.88,4383778.0,43.70,127535.0,706611.0,139960.0,2528716.0,158185,275475,172988,275276,-14803,198,141655,305008,189146,309863,-47491,-4855,182408,293380,172980,269928,9428,23451,121198,523433,148184,635068,-26986,-111635,50708,123070,50852,133166,-144,-10096,152013,186946,85556,119704,66457,67242,61139,157687,48509,115090,12630,42596,116955,905869,81917,906469,35038,-600,34109,53189355,30010,46799716,4099,6389639,12751,19980106,8653,13525679,4098,6454427,69198,107800664,77133,120198822,-7935,-12398158,49044,76851215,32106,50297106,16938,26554109,71.5,7850,73.0,7900
20160120,7835.17,7835.17,7687.6,7699.12,4952606.0,-155.76,130412.0,742909.0,145355.0,2674786.0,283306,388910,295646,428018,-12340,-39108,62864,132205,55803,89728,7061,42477,256576,582555,272401,701311,-15825,-118756,45458,441906,59372,599117,-13914,-157211,37269,75609,33075,78890,4194,-3281,70654,71553,53037,60089,17617,11464,46155,156987,42393,163308,3762,-6321,53090,916026,56744,979024,-3654,-62998,51596,79547910,53571,82602171,-1975,-3054262,4848,7305906,7437,11239252,-2589,-3933346,65375,100509781,65754,101156381,-379,-646599,36852,55878786,20380,30858609,16472,25020177,4.1,7700,78.2,7700
20160121,7713.17,7748.37,7664.01,7664.01,4189147.0,-35.11,107085.0,618926.0,165048.0,2871474.0,155970,406969,133193,385913,22777,21055,97917,202238,68206,144940,29711,57298,166990,527853,159544,555640,7446,-27786,78054,481707,84457,647840,-6403,-166133,45294,152790,37006,134841,8288,17949,79175,83350,53308,59079,25867,24271,62361,237211,48877,218798,13484,18414,69492,914570,59580,950779,9912,-36209,26051,39872136,26776,40969429,-725,-1097293,4708,7105479,8025,12152978,-3317,-5047499,62550,95739822,57309,87722287,5241,8017534,40147,61017547,17318,26264088,22829,34753459,196.0,7650,193.0,7700
20160122,7729.01,7774.12,7706.14,7756.18,3753026.0,92.17,119124.0,708437.0,156384.0,2620952.0,139589,348196,137976,348051,1613,145,108328,317592,77110,240165,31218,77427,171312,403176,151652,394766,19660,8409,106089,363939,92790,442721,13299,-78782,43831,126395,38155,119964,5676,6431,86133,117773,54576,78919,31557,38854,51729,146218,43392,141710,8337,4508,79939,716389,61696,742727,18243,-26338,22797,35078993,22530,34658198,267,420795,5040,7742924,8222,12676111,-3182,-4933187,53225,81867204,52028,80044300,1197,1822904,42547,65820498,18439,28468337,24108,37352161,139.0,7750,133.0,7800
20160125,7813.73,7899.66,7813.73,7894.15,3897490.0,137.97,119449.0,702865.0,134721.0,2765010.0,132043,347675,139361,337576,-7318,10099,105998,393408,81907,285875,24091,107533,150848,309535,172588,294945,-21740,14590,108680,313405,117234,335114,-8554,-21709,56204,176794,48998,155169,7206,21626,98954,160005,60158,95749,38796,64256,48771,125043,47599,123858,1172,1185,84189,598671,64818,614640,19371,-15969,22729,35630226,21834,34222879,895,1407346,5103,7925979,7430,11574638,-2327,-3648659,42696,66966105,42849,67203538,-153,-237432,43176,67544551,19106,29834211,24070,37710340,87.0,7900,161.0,7900
20160126,7832.1,7848.63,7799.58,7828.67,3710810.0,-65.48,128697.0,788381.0,133168.0,2754189.0,113214,214271,124020,230797,-10806,-16526,104513,315142,91259,248720,13254,66422,143631,239579,126451,243531,17180,-3952,118627,348751,109991,379639,8636,-30888,34038,89192,32314,79915,1724,9277,101739,132002,61170,77880,40569,54122,40662,106777,36144,95479,4518,11298,89098,667408,65181,675676,23917,-8268,20785,32315297,19686,30593191,1099,1722106,6064,9356764,7328,11321943,-1264,-1965179,41440,64434833,42057,65395948,-617,-961115,41745,64817579,18239,28262642,23506,36554937,72.0,7850,261.0,7800
20160127,7863.66,7888.63,7830.33,7849.83,3900030.0,21.16,125846.0,780585.0,148178.0,2741509.0,160825,297505,145526,245736,15299,51769,81602,267665,62863,155780,18739,111885,152131,235541,162202,274299,-10071,-38758,68484,287582,82202,339817,-13718,-52235,35662,93073,31363,86817,4299,6256,90154,147986,57089,88103,33065,59883,39827,87640,31077,76801,8750,10839,80740,596668,65317,596043,15423,625,18756,29306978,20955,32741158,-2199,-3434180,5746,8922680,9120,14214541,-3374,-5291861,45296,70781309,42639,66639045,2657,4142264,44270,69272648,17985,28079271,26285,41193377,6.3,7850,174.0,7800
20160128,7825.22,7921.06,7821.12,7905.1,4201089.0,55.27,120308.0,769850.0,136859.0,2878202.0,111795,276651,116691,307499,-4896,-30848,85254,270123,71592,189644,13662,80479,147549,252283,128165,228906,19384,23377,95671,306110,90016,320806,5655,-14696,33437,109836,31533,117663,1904,-7826,92821,151930,57832,96355,34989,55575,42865,90865,32278,99993,10587,-9128,92581,561764,66568,573218,26013,-11454,21962,34509083,20933,32883421,1029,1625662,5620,8745381,7948,12402583,-2328,-3657202,46808,73538327,42901,67424992,3907,6113335,47519,74545602,17299,27068553,30220,47477049,125.0,7900,159.0,7900
20160129,7880.78,8080.6,7876.82,8080.6,5833326.0,175.50,126822.0,765424.0,141102.0,2699013.0,198682,536134,207543,578130,-8861,-41996,86305,498696,81606,392689,4699,106007,217257,385344,239220,383216,-21963,2128,102559,231756,118922,217022,-16363,14734,69118,257132,60780,248890,8338,8242,103585,344504,60214,185558,43371,158946,70615,151666,58675,151343,11940,323,108184,397861,70255,402990,37929,-5129,37813,60220653,37491,59813882,322,406771,5336,8509077,7267,11627265,-1931,-3118188,72897,116137235,72518,115484092,379,653143,49900,80234843,18890,30306160,31010,49928683,106.0,8100,145.0,8100
20160130,8107.23,8149.5,8106.63,8145.21,4004971.0,64.61,128120.0,753715.0,130174.0,2772155.0,102459,329823,104926,314807,-2467,15015,90636,697969,88384,524928,2252,173041,117888,207133,140624,213346,-22736,-6213,110363,216372,149546,200358,-39183,16014,17307,65894,14535,66592,2772,-699,105507,505568,59410,245476,46097,260092,12391,18419,11722,19170,669,-751,108144,309075,69524,316055,38620,-6980,14295,23245626,16353,26600433,-2058,-3354807,5275,8532831,9252,15035755,-3977,-6502924,3909,6354728,4721,7680007,-812,-1325279,49293,80361782,19137,31136669,30156,49225113,100.0,8150,211.0,8100
20160201,8164.24,8166.8,8110.87,8156.96,4122041.0,11.75,146163.0,823768.0,133621.0,2705885.0,143037,310806,152808,329095,-9771,-18289,98943,635863,106462,504108,-7519,131755,155631,280782,149934,242513,5697,38269,122573,269961,156059,217863,-33486,52098,43020,121836,45198,159365,-2178,-37529,105019,410501,61100,224474,43919,186027,43939,101155,37462,99277,6477,1878,112064,342576,66967,348951,45097,-6375,26882,43611057,23001,37309912,3881,6301145,7222,11648439,7327,11832265,-105,-183826,44733,72557710,51418,83413859,-6685,-10856149,44151,71617998,20681,33489894,23470,38128104,88.5,8150,98.5,8200
20160202,8141.52,8156.25,8091.14,8131.24,3544309.0,-25.72,133350.0,754514.0,136871.0,2732083.0,126100,222562,116239,226566,9861,-4004,108111,580764,105787,454362,2324,126402,127255,187357,131562,191027,-4307,-3670,127078,291056,164807,239516,-37729,51540,32754,85864,36063,102179,-3309,-16315,105927,367193,65341,220083,40586,147110,33307,65760,31703,74205,1604,-8445,115262,362396,68483,376881,46779,-14485,20061,32523992,20499,33218444,-438,-694452,6605,10616516,7175,11550708,-570,-934192,41031,66511979,40827,66199157,204,312822,43764,70788051,20052,32374903,23712,38413148,57.0,8150,199.0,8100
20160203,8117.22,8117.22,8036.6,8063.0,3323268.0,-68.24,132779.0,706545.0,147289.0,2760777.0,193937,314853,215281,373261,-21344,-58409,75821,358137,81931,269999,-6110,88138,210036,368704,226944,382225,-16908,-13521,85884,347512,107616,310375,-21732,37137,57519,132477,44396,129036,13123,3441,108676,260046,64910,177429,43766,82617,70914,176108,49858,143497,21056,32612,118026,462971,67499,449724,50527,13247,26045,41874673,26375,42386349,-330,-511676,5820,9263222,6628,10566730,-808,-1303508,52969,85134789,52205,83937096,764,1197693,44818,71862547,20827,33342660,23991,38519887,27.2,8050,23.1,8100
20160215,7976.65,8074.8,7953.99,8066.51,3687756.0,3.51,110266.0,619055.0,158774.0,2826750.0,177218,312897,185998,326050,-8780,-13153,69565,318796,81018,253517,-11453,65279,206358,280940,209719,306166,-3361,-25226,79213,265711,97790,233402,-18577,32309,40919,130084,33020,109166,7899,20918,110154,225329,65308,153828,44846,71501,44984,102732,41077,117132,3907,-14400,117859,401434,65640,415347,52219,-13913,27731,44439986,27359,43847613,372,592373,6352,10123194,6653,10606529,-301,-483335,64157,102765500,60632,97164278,3525,5601222,51392,82429006,23818,38152882,27574,44276124,3.3000000000000003,8050,48.1,8100
20160216,8090.91,8227.19,8090.91,8212.07,4851576.0,145.56,113845.0,615554.0,139497.0,2723085.0,153204,328724,147671,310001,5533,18723,81582,509689,87461,415375,-5879,94314,173774,215073,199902,219533,-26128,-4460,90129,199745,134823,167402,-44694,32343,59368,176461,51761,170116,7607,6345,118585,402183,66116,243218,52469,158965,49950,88183,43477,83489,6473,4694,124638,259479,65924,279001,58714,-19522,36096,58945933,37240,60843495,-1144,-1897563,7928,12932610,9288,15171279,-1360,-2238669,71867,117260450,69328,113145869,2539,4114581,54672,89633389,24394,39935220,30278,49698169,61.5,8200,192.5,8200
20160217,8240.73,8253.8,8196.13,8214.25,4521732.0,2.18,146141.0,798204.0,136412.0,2758927.0,145226,281342,150280,283244,-5054,-1901,54527,208471,45600,150126,8927,58345,171346,256312,176355,266034,-5009,-9722,34641,179854,56083,177008,-21442,2846,37958,103165,29347,87147,8611,16018,83311,234457,42826,109348,40485,125109,38547,83362,33268,103261,5279,-19899,36906,230217,35296,259259,1610,-29042,28007,46006715,26605,43693493,1402,2313222,2895,4656357,6655,10822595,-3760,-6166238,44086,72345665,45483,74664304,-1397,-2318639,43968,71904962,13149,21426522,30819,50478440,12.2,8200,78.2,8200
20160218,8261.74,8337.97,8261.74,8314.67,4640550.0,100.42,141028.0,779867.0,146603.0,2735226.0,104764,279051,100859,291029,3905,-11978,67200,286715,54376,226288,12824,60427,128762,243791,126855,268164,1907,-24373,65565,192520,85074,191325,-19509,1195,35000,122264,33130,123543,1870,-1279,88603,319437,46206,148138,42397,171299,40176,102605,32830,96754,7346,5850,44623,201166,35634,221479,8989,-20313,20007,33157617,19487,32287119,520,870498,3883,6345238,7125,11724559,-3242,-5379321,36625,60688075,37390,61954056,-765,-1265981,43442,71863434,13334,21979575,30108,49883859,138.0,8300,219.0,8300
20160219,8291.83,8325.04,8280.39,8325.04,3759780.0,10.37,144805.0,777698.0,141518.0,2463020.0,80045,196377,75306,175395,4739,20982,76355,319534,58742,237696,17613,81838,99573,179823,92771,183797,6802,-3974,89165,200851,101887,188481,-12722,12370,20761,76935,23465,96779,-2704,-19844,94237,342281,54483,193732,39754,148549,28166,73210,24551,96116,3615,-22906,55825,200292,43256,240691,12569,-40399,12210,20244116,12580,20851843,-370,-607727,3989,6538641,7605,12553868,-3616,-6015227,28707,47593549,25873,42896817,2834,4696732,45640,75706383,12571,20770227,33069,54936156,116.0,8350,285.0,8300
20160222,8315.79,8396.62,8296.18,8326.68,4083271.0,1.64,134752.0,725590.0,146104.0,2719958.0,126003,283300,134719,310584,-8716,-27284,81592,298921,72669,253859,8923,45062,147322,280228,134687,244477,12635,35751,100067,229568,100168,167303,-101,62265,38067,118973,36174,122893,1893,-3920,97515,323244,55909,191150,41606,132094,42361,102155,38885,110070,3476,-7916,60422,199518,44397,243805,16025,-44287,25435,42360349,22573,37590280,2862,4770070,5369,8822273,6120,10074932,-751,-1252659,40069,66713050,44878,74695219,-4809,-7982169,41676,69058445,13565,22399083,28111,46659362,86.5,8350,261.0,8300
20160223,8333.59,8361.79,8311.94,8334.64,4271480.0,7.96,148308.0,811858.0,154469.0,2791169.0,102965,172438,93474,168798,9491,3640,91058,312533,72660,262161,18398,50372,101462,158678,109379,165131,-7917,-6453,102064,215796,110118,161828,-8054,53968,21945,61634,20924,55045,1021,6589,99900,331785,57257,194252,42643,137533,27025,70348,21503,55774,5522,14574,66235,201177,44673,227177,21562,-26000,14793,24566583,14335,23797504,458,769080,6316,10414461,6556,10819494,-240,-405033,34096,56613084,31525,52349571,2571,4263513,44555,73998108,13859,22934026,30696,51064082,56.0,8350,245.0,8300
20160224,8332.66,8382.25,8264.39,8282.86,4148347.0,-51.78,143153.0,792973.0,155492.0,2632873.0,181393,309310,178847,283070,2546,26240,68178,250156,56913,171718,11265,78438,196285,310745,202955,348334,-6670,-37588,53555,236855,86103,230006,-32548,6849,44131,94701,35702,96438,8429,-1736,100583,268566,57416,157152,43167,111414,62922,174755,44945,111973,17977,62782,77090,316202,45475,278262,31615,37940,29356,48627268,32145,53254937,-2789,-4627669,5318,8676583,8360,13692820,-3042,-5016237,49344,81813498,48159,79831232,1185,1982266,45203,74415595,13249,21725460,31954,52690135,24.2,8300,75.0,8300
20160225,8304.18,8388.63,8304.18,8365.86,4806182.0,83.00,138537.0,772768.0,161820.0,2756880.0,119431,298074,97156,237335,22275,60739,91083,385492,57637,231359,33446,154133,124466,216986,134401,270871,-9935,-53885,72125,205338,114793,241650,-42668,-36312,35000,118348,32198,117997,2802,351,104737,356545,58745,212767,45992,143778,39112,89650,30753,89970,8359,-320,87324,253986,47333,231971,39991,22015,20555,34211498,23286,38765122,-2731,-4553625,4625,7615781,10191,16895586,-5566,-9279805,46018,76599782,40030,66640585,5988,9959197,50145,83463952,12314,20403240,37831,63060712,117.0,8350,117.5,8400
20160226,8380.53,8432.74,8347.8,8411.16,4132467.0,45.30,152501.0,845143.0,153863.0,2769029.0,102308,220632,104849,272226,-2541,-51594,98501,426804,67600,308437,30901,118367,138158,253275,124540,231141,13618,22134,84912,195506,113927,192909,-29015,2597,34661,112572,31563,120205,3098,-7633,109264,416159,60180,258699,49084,157460,44002,101067,33962,92782,10040,8285,100365,230221,50332,209597,50033,20624,19112,31961006,17364,29036509,1748,2924498,5048,8371664,8844,14737158,-3796,-6365494,41289,69019816,45300,75733925,-4011,-6714109,47308,79213859,13587,22662703,33721,56551156,93.0,8400,154.5,8400
20160301,8381.38,8489.01,8378.06,8485.69,4294467.0,74.53,145016.0,793557.0,154522.0,2789103.0,142384,325704,132238,320971,10146,4733,111043,501370,69926,367319,41117,134051,154800,224803,168349,227021,-13549,-2219,88489,177162,131070,148448,-42581,28714,46014,150009,39577,135890,6437,14119,116630,486778,61105,297034,55525,189744,41738,105170,39539,91287,2199,13883,106554,206227,54338,179215,52216,27012,23841,40179891,22576,38048382,1265,2131508,6036,10103378,8668,14545212,-2632,-4441834,41999,70729043,39565,66644322,2434,4084721,49469,83423252,13355,22435931,36114,60987321,58.5,8500,120.5,8500
20160302,8544.66,8586.25,8540.17,8544.05,5371734.0,58.36,168912.0,887837.0,164015.0,2825853.0,149643,340673,171804,428865,-22161,-88192,72489,448724,60706,347657,11783,101067,185508,245782,201146,260450,-15638,-14668,63573,156577,108371,146568,-44798,10009,40699,140598,44390,156925,-3691,-16327,110252,577834,62475,353784,47777,224050,36782,74845,33583,80846,3199,-6001,96359,165901,52790,151630,43569,14271,24804,42330576,23837,40671612,967,1658965,6157,10393635,7930,13407128,-1773,-3013493,38427,65553874,42592,72667839,-4165,-7113965,47159,80171563,15461,26206293,31698,53965270,0.8,8550,146.0,8500
20160303,8569.05,8630.77,8561.74,8611.79,5547809.0,67.74,168046.0,937948.0,149969.0,2484992.0,100641,247628,97745,274584,2896,-26956,84473,506589,69721,425796,14752,80793,134851,230666,135927,228946,-1076,1720,80681,162353,126602,142120,-45921,20233,28938,105877,30281,116452,-1343,-10575,111950,648313,65473,407441,46477,240872,31530,89463,33064,93394,-1534,-3931,97092,147850,55102,136106,41990,11744,22095,37811131,21360,36545992,735,1265139,7422,12613873,8368,14228061,-946,-1614188,39568,67699771,36973,63260619,2595,4439152,49202,84096782,14845,25288921,34357,58807861,118.0,8600,139.0,8600
20160304,8611.37,8648.94,8584.06,8643.55,4938662.0,31.76,169167.0,944703.0,153000.0,2608822.0,85021,200384,90971,217132,-5950,-16749,87535,549647,78829,484001,8706,65646,119913,191454,122378,179632,-2465,11821,85032,154599,133465,118236,-48433,36363,28612,88031,30137,104697,-1525,-16666,113049,695833,68079,451801,44970,244032,37464,97846,30243,88208,7221,9638,108898,153436,59689,131269,49209,22167,18919,32497120,18531,31826576,388,670544,8051,13749617,8630,14739851,-579,-990234,36463,62614098,36250,62258588,213,355510,49510,84984729,15065,25773656,34445,59211073,100.0,8650,165.0,8600
20160307,8656.74,8727.88,8632.21,8659.55,4974025.0,16.00,162594.0,886738.0,160521.0,2793871.0,117436,264071,121992,282546,-4556,-18475,89967,540783,85818,493946,4149,46837,136148,218928,136021,207267,127,11661,94906,174797,143199,123157,-48293,51640,31324,105816,34394,122257,-3070,-16441,111584,683598,69664,456026,41920,227572,32644,78198,30546,84106,2098,-5907,113042,156018,61719,138582,51323,17436,23693,40864540,23142,39901644,551,962896,7969,13608306,7946,13565508,23,42798,38879,67030042,39213,67619837,-334,-589795,51417,88274133,17168,29394731,34249,58879402,75.0,8650,95.5,8700
20160308,8655.86,8668.51,8575.7,8664.31,5725795.0,4.76,169505.0,937775.0,163527.0,2817800.0,122839,211782,121781,224834,1058,-13052,93526,550028,88309,520111,5217,29917,147615,251626,145693,261707,1922,-10081,101628,188274,148110,149846,-46482,38428,30220,85517,28656,79431,1564,6086,113550,702389,70067,464521,43483,237868,42345,134596,34457,104031,7888,30564,124631,196792,65460,155767,59171,41025,22069,37846387,21197,36336302,872,1510085,8320,14227043,7368,12579501,952,1647542,40470,69386191,38213,65532652,2257,3853539,54297,93328143,17498,29994989,36799,63333154,51.5,8650,66.5,8700
20160309,8649.1,8657.17,8588.41,8634.11,4854510.0,-30.20,174928.0,984751.0,165298.0,2689975.0,129116,229107,137548,248196,-8432,-19089,70275,497778,79004,486202,-8729,11576,143840,242948,141861,217525,1979,25422,77170,184732,123368,131593,-46198,53139,23561,63192,23131,61824,430,1368,111901,698114,68986,456869,42915,241245,31984,69828,27591,70672,4393,-844,123864,188358,63445,149573,60419,38785,20450,35137872,20590,35363756,-140,-225884,7549,12906095,6639,11326969,910,1579126,34945,60041623,33485,57539489,1460,2502134,55145,94828978,16802,28812190,38343,66016788,34.2,8650,133.0,8600
20160310,8633.66,8680.43,8614.97,8660.7,4820716.0,26.59,159944.0,877087.0,159552.0,2764610.0,104142,285856,95694,239222,8448,46634,79728,538930,80015,495451,-287,43479,121260,212108,134709,231900,-13449,-19792,85116,167611,144687,138973,-59571,28638,32897,107817,31988,110429,909,-2612,114619,728588,70759,481169,43860,247419,47673,93246,30730,86861,16943,6386,141277,186306,63933,146814,77344,39492,20392,35226933,21773,37612107,-1381,-2385174,8168,14002646,8478,14530970,-310,-528324,38634,66738508,38697,66857774,-63,-119266,53207,91714557,14823,25470796,38384,66243761,118.0,8650,122.5,8700
20160311,8663.29,8707.97,8640.96,8706.14,4608632.0,45.44,163737.0,933496.0,162462.0,2678120.0,110386,261693,117875,258428,-7489,3266,83142,628378,90808,599240,-7666,29138,150702,233387,156358,206284,-5656,27102,97959,164870,163294,116738,-65335,48132,32394,110639,30331,104061,2063,6578,116615,858416,70754,562513,45861,295903,39546,72962,29532,73029,10014,-67,154110,150480,66670,123359,87440,27121,23411,40562010,21572,37379616,1839,3182394,9524,16466290,7721,13322577,1803,3143713,41306,71518983,40389,69964372,917,1554611,53415,92731147,14114,24422524,39301,68308623,83.5,8700,182.5,8700
20160314,8746.48,8777.05,8739.57,8747.9,4934103.0,41.76,169240.0,929780.0,171327.0,2873148.0,102505,283376,110332,293462,-7827,-10086,82514,678610,97976,664383,-15462,14227,111261,154663,121564,141462,-10303,13201,99959,148180,175597,104778,-75638,43402,35082,91324,28184,99211,6898,-7887,121605,942482,68791,619745,52814,322737,26967,59538,25095,44639,1872,14898,157928,148570,68579,114855,89349,33715,24005,41998705,23598,41274168,407,724538,9781,16997384,7492,12980889,2289,4016495,45902,80281034,51342,89834607,-5440,-9553572,53585,93437992,19630,34175522,33955,59262470,67.5,8750,304.0,8700
20160315,8745.57,8759.94,8589.41,8611.18,5725420.0,-136.72,172571.0,960181.0,155592.0,2666764.0,173039,284862,189926,305517,-16887,-20656,89703,475346,122080,423737,-32377,51609,180968,327117,187994,442950,-7026,-115832,103694,304347,186366,244261,-82672,60086,36108,84270,30778,63694,5330,20576,127696,642971,69530,411957,58166,231014,50487,129051,51154,130782,-667,-1731,163069,266675,74394,184632,88675,82043,37919,65614724,39256,67934787,-1337,-2320063,9976,17052739,9127,15555663,849,1497076,74421,128968380,73838,128004593,583,963786,56632,97010351,22121,37872204,34511,59138147,53.5,8600,169.0,8600
20160316,8637.63,8699.14,8637.63,8699.14,4922557.0,87.96,138508.0,769602.0,159766.0,2911522.0,152919,372185,139737,355354,13182,16832,56218,260069,38190,160033,18028,100036,134059,188092,154395,260389,-20336,-72297,41362,131410,60669,182093,-19307,-50683,25935,69083,24122,54488,1813,14595,45656,290186,20092,143122,25564,147064,26758,92806,20465,63560,6293,29246,52688,205545,30764,142917,21924,62628,24075,41678447,26381,45681633,-2306,-4003186,3952,6736622,9366,16103502,-5414,-9366880,40472,69976250,33111,57277149,7361,12699102,52747,91139442,11020,18945367,41727,72194075,9.2,8700,69.0,8700
20160317,8763.51,8826.84,8716.88,8734.54,5623714.0,35.40,178338.0,953464.0,164882.0,2789656.0,142865,362236,146659,405253,-3794,-43016,65749,283778,51535,202314,14214,81464,144395,293684,133881,313021,10514,-19337,63290,160087,72012,220006,-8722,-59919,34335,129488,30916,111607,3419,17882,51458,337774,22447,161173,29011,176601,35936,138100,29842,96769,6094,41331,62623,254490,34531,150397,28092,104093,26227,45877990,24619,43068429,1608,2809561,4965,8530975,8676,14976483,-3711,-6445508,44979,78674670,45676,79880661,-697,-1205991,52898,91833897,11787,20371954,41111,71461943,117.0,8750,291.0,8700
20160318,8747.05,8810.71,8747.05,8810.71,5023360.0,76.17,171373.0,962215.0,153971.0,2720742.0,93278,226026,98149,250088,-4871,-24063,71278,355967,61951,294808,9327,61159,123196,209191,119649,212361,3547,-3170,78817,141131,84029,185642,-5212,-44511,24239,82536,21899,77050,2340,5485,54313,401120,22899,187680,31414,213440,31655,79500,27267,70100,4388,9400,69495,223005,37055,128566,32440,94439,17512,30647231,16712,29245526,800,1401705,5801,10059561,8675,15086799,-2874,-5027238,32603,57052603,32780,57372622,-177,-320019,52873,92496761,11930,20779632,40943,71717129,93.0,8800,175.0,8800
20160321,8826.16,8840.75,8747.59,8812.7,4178678.0,1.99,166856.0,919381.0,162307.0,2812960.0,102015,195490,107116,223542,-5101,-28052,73198,322584,68231,285778,4967,36806,121288,228924,110176,202839,11112,26085,90081,159723,84317,182435,5764,-22712,27024,74329,28349,83845,-1325,-9516,53795,372146,23703,180102,30092,192044,29520,75932,26645,75286,2875,646,72820,228579,37487,132588,35333,95991,18310,32020130,16596,29014545,1714,3005585,6432,11142779,7626,13215195,-1194,-2072416,30004,52467588,31922,55842300,-1918,-3374711,53297,93034993,13836,24069575,39461,68965418,77.0,8800,158.0,8800
20160322,8806.02,8814.37,8713.24,8785.68,4498161.0,-27.02,177118.0,966048.0,178326.0,2915706.0,145739,276190,135657,247032,10082,29158,87867,370170,72551,292973,15316,77197,139288,298403,133463,293733,5825,4670,103348,184445,91880,211851,11468,-27406,26543,73589,27096,77736,-553,-4146,54011,371795,24456,185080,29555,186715,31878,89305,30219,97885,1659,-8580,76377,223804,39395,138271,36982,85533,21004,36580158,22156,38575137,-1152,-1994979,6425,11135503,8760,15204680,-2335,-4069177,39545,68883520,34592,60269000,4953,8614520,57969,101251277,13150,22882560,44819,78368717,51.0,8800,137.5,8800
